config,type_name,status
stage1_eqvae.yml,Adam,UNREGISTERED
stage1_eqvae.yml,CosineAnnealingRestartLR,UNREGISTERED
stage1_eqvae.yml,EQVAEModel,OK
stage1_eqvae.yml,KlLoss,OK
stage1_eqvae.yml,L1Loss,OK
stage1_eqvae.yml,PairedImageDataset,OK
stage1_eqvae.yml,RAVAE_EQ,OK
stage1_eqvae.yml,disk,UNREGISTERED
stage2_hflora.yml,Adam,UNREGISTERED
stage2_hflora.yml,CosineAnnealingRestartLR,UNREGISTERED
stage2_hflora.yml,GANLoss,OK
stage2_hflora.yml,L1Loss,OK
stage2_hflora.yml,PairedImageDataset,OK
stage2_hflora.yml,RAVAE,UNREGISTERED
stage2_hflora.yml,RAVAEHFLora,OK
stage2_hflora.yml,UNetDiscriminatorSN,OK
stage2_hflora.yml,VAEadapter,OK
stage2_hflora.yml,disk,UNREGISTERED
