dataset,epochs,batch_size,status
10_cover,10,1024,OK
11_donors,30,1024,OK
12_fault,5000,512,OK
13_fraud,75,1024,OK
14_glass,200,512,OK
15_Hepatitis,1,512,OK
16_http,100,1024,OK
17_InternetAds,50,512,OK
18_Ionosphere,10,512,OK
19_landsat,6,512,OK
1_ALOI,100,1024,OK
20_letter,50,512,OK
21_Lymphography,3,512,OK
22_magic.gamma,10,1024,OK
23_mammography,20,1024,OK
24_mnist,500,512,OK
25_musk,5,512,OK
26_optdigits,2000,512,OK
27_PageBlocks,1800,512,OK
28_pendigits,1000,512,OK
29_Pima,5,512,OK
2_annthyroid,2000,512,OK
30_satellite,10,512,OK
31_satimage-2,5,512,OK
32_shuttle,200,1024,OK
33_skin,110,1024,OK
34_smtp,2,1024,OK
35_SpamBase,5000,512,OK
36_speech,500,512,OK
37_Stamps,200,512,OK
38_thyroid,10,512,OK
39_vertebral,25,512,OK
3_backdoor,200,1024,OK
40_vowels,20,512,OK
41_Waveform,580,512,OK
42_WBC,1,512,OK
43_WDBC,2,512,OK
44_Wilt,20,512,OK
45_wine,20,512,OK
46_WPBC,6,512,OK
47_yeast,130,512,OK
4_breastw,1,512,OK
5_campaign,50,1024,OK
6_cardio,2000,512,OK
7_Cardiotocography,1,512,OK
8_celeba,2,1024,OK
9_census,5,1024,OK
